dateTime,url,isSeries,name,originalName,year,isWatched,userVote,tmdbId
2022-12-26,https://www.kinopoisk.ru/film/1176141/,нет,Гостиница Окко,Wakaokami wa Shougakusei!,2018,да,,521296
2022-12-25,https://www.kinopoisk.ru/film/738499/,нет,Гринч,The Grinch,2018,да,,360920
2022-12-24,https://www.kinopoisk.ru/film/4541/,нет,Шоу Трумана,The Truman Show,1998,да,,37165
2022-12-24,https://www.kinopoisk.ru/film/395/,нет,Шестое чувство,The Sixth Sense,1999,да,,745
2022-12-22,https://www.kinopoisk.ru/film/342/,нет,Криминальное чтиво,Pulp Fiction,1994,да,,680
2022-10-30,https://www.kinopoisk.ru/film/437040/,нет,Доброе утро,Morning Glory,2010,да,,38357
2022-10-27,https://www.kinopoisk.ru/film/391277/,нет,Потрошители,Repo Men,2009,да,,31867
2022-10-27,https://www.kinopoisk.ru/film/47015/,нет,Убить Билла 2,Kill Bill: Vol. 2,2004,да,,393
2022-10-27,https://www.kinopoisk.ru/film/279102/,нет,ВАЛЛ·И,WALL·E,2008,да,,10681
2022-10-27,https://www.kinopoisk.ru/film/7908/,нет,В поисках Немо,Finding Nemo,2003,да,,12
2022-10-27,https://www.kinopoisk.ru/film/906042/,нет,Приключения Паддингтона 2,Paddington 2,2017,да,,346648
2022-10-27,https://www.kinopoisk.ru/film/1950/,нет,Контакт,Contact,1997,да,,686
2022-10-11,https://www.kinopoisk.ru/film/397667/,нет,Остров проклятых,Shutter Island,2009,да,,11324
2022-09-29,https://www.kinopoisk.ru/film/521526/,нет,Жить,,2010,да,,59426
2022-09-28,https://www.kinopoisk.ru/film/1114854/,да,Спящие 2,,2018,да,,
2022-09-17,https://www.kinopoisk.ru/film/1101569/,нет,День курка,Boss Level,2019,да,,513310
2022-09-01,https://www.kinopoisk.ru/film/1301516/,да,Дублинские убийства,Dublin Murders,2019,да,,93481
2022-08-28,https://www.kinopoisk.ru/film/673428/,нет,Дикая,Wild,2014,да,,228970
2022-08-27,https://www.kinopoisk.ru/film/1355142/,нет,Флешбэк,Memory,2021,да,,818397
2022-08-04,https://www.kinopoisk.ru/film/5492/,нет,Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,да,,38
2022-07-31,https://www.kinopoisk.ru/film/5012/,нет,Гаттака,Gattaca,1997,да,,782
2022-07-27,https://www.kinopoisk.ru/film/4456600/,да,Киллер,,2022,да,,204408
2022-07-26,https://www.kinopoisk.ru/film/1359038/,да,Спроси Марту,,2020,да,,
2022-06-23,https://www.kinopoisk.ru/film/1322324/,нет,Всё везде и сразу,Everything Everywhere All at Once,2021,да,,545611
2022-06-21,https://www.kinopoisk.ru/film/4533880/,нет,1941. Крылья над Берлином,,2022,да,,895543
2022-06-19,https://www.kinopoisk.ru/film/104992/,нет,Дьявол носит Prada,The Devil Wears Prada,2006,да,,350
2022-06-18,https://www.kinopoisk.ru/film/7643/,нет,Матильда,Matilda,1996,да,,10830
2022-05-27,https://www.kinopoisk.ru/film/325381/,нет,Вверх,Up,2009,да,,14160
2022-05-22,https://www.kinopoisk.ru/film/512883/,нет,Как приручить дракона 2,How to Train Your Dragon 2,2014,да,,82702
2022-05-21,https://www.kinopoisk.ru/film/280172/,нет,Как приручить дракона,How to Train Your Dragon,2010,да,,10191
2022-05-21,https://www.kinopoisk.ru/film/837530/,нет,Моана,Moana,2016,да,,277834
2022-04-24,https://www.kinopoisk.ru/film/1234853/,нет,Мистер Нокаут,,2022,да,,586386
2022-04-23,https://www.kinopoisk.ru/film/989469/,нет,Путь к сердцу,Inner Workings,2016,да,,406785
2022-04-21,https://www.kinopoisk.ru/film/2717/,нет,Убить Билла,Kill Bill: Vol. 1,2003,да,,24
2022-04-19,https://www.kinopoisk.ru/film/1355139/,нет,Лулу и Бриггс,Dog,2021,да,,626735
2022-04-18,https://www.kinopoisk.ru/film/461939/,нет,Линкольн для адвоката,The Lincoln Lawyer,2011,да,,50348
2022-04-17,https://www.kinopoisk.ru/film/395787/,нет,Семь жизней,Seven Pounds,2008,да,,11321
2022-04-16,https://www.kinopoisk.ru/film/760815/,нет,Стрингер,Nightcrawler,2013,да,,242582
2022-04-09,https://www.kinopoisk.ru/film/571335/,да,Бесстыжие,Shameless,2011,да,,34307
2022-04-05,https://www.kinopoisk.ru/film/251735/,нет,Опустевший город,Reign Over Me,2007,да,,2355
2022-04-05,https://www.kinopoisk.ru/film/842493/,нет,Разрушение,Demolition,2015,да,,303991
2022-04-04,https://www.kinopoisk.ru/film/568289/,нет,Богемская рапсодия,Bohemian Rhapsody,2018,да,,424694
2022-04-04,https://www.kinopoisk.ru/film/893245/,нет,Основатель,The Founder,2016,да,,310307
2022-04-04,https://www.kinopoisk.ru/film/1142541/,да,Атака титанов: Потерянные девушки,Shingeki no Kyojin: Lost Girls,2017,да,,
2022-04-03,https://www.kinopoisk.ru/film/522941/,нет,Выживший,The Revenant,2015,да,,281957
2022-04-01,https://www.kinopoisk.ru/film/126196/,нет,Жизнь других,Das Leben der Anderen,2006,да,,582
2022-04-01,https://www.kinopoisk.ru/film/260162/,нет,Далласский клуб покупателей,Dallas Buyers Club,2013,да,,152532
2022-04-01,https://www.kinopoisk.ru/film/470553/,нет,Прислуга,The Help,2011,да,,50014
2022-03-31,https://www.kinopoisk.ru/film/413362/,нет,Миллионер из трущоб,Slumdog Millionaire,2008,да,,12405
2022-03-31,https://www.kinopoisk.ru/film/683999/,нет,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,да,,120467
2022-03-30,https://www.kinopoisk.ru/film/324/,нет,"Поймай меня, если сможешь",Catch Me If You Can,2002,да,,640
2022-03-29,https://www.kinopoisk.ru/film/959606/,нет,Работа без авторства,Werk ohne Autor,2018,да,,423612
2022-03-29,https://www.kinopoisk.ru/film/5931/,нет,Очень страшное кино 2,Scary Movie 2,2001,да,,4248
2022-03-28,https://www.kinopoisk.ru/film/5932/,нет,Очень страшное кино,Scary Movie,2000,да,,4247
2022-03-28,https://www.kinopoisk.ru/film/1108577/,нет,Зеленая книга,Green Book,2018,да,,490132
2022-03-27,https://www.kinopoisk.ru/film/667667/,нет,Дом с паранормальными явлениями,A Haunted House,2013,да,,139038
2022-02-22,https://www.kinopoisk.ru/film/1368311/,нет,Черный ящик,Boîte noire,2020,да,,663260
2022-02-21,https://www.kinopoisk.ru/film/6877/,нет,Терминал,The Terminal,2004,да,,594
2022-01-04,https://www.kinopoisk.ru/film/4742878/,нет,Майор Гром: Чумной Доктор. Расширенная версия,,2021,да,,
2022-01-02,https://www.kinopoisk.ru/film/409424/,нет,Дюна,Dune: Part One,2021,да,,438631
2021-12-29,https://www.kinopoisk.ru/film/1008327/,да,Кардинал,Cardinal,2017,да,,67743
2021-12-27,https://www.kinopoisk.ru/film/1311660/,да,Убийство на ферме «Уайтхаус»,White House Farm,2020,да,,96954
2021-12-26,https://www.kinopoisk.ru/film/1309570/,нет,Человек-паук: Нет пути домой,Spider-Man: No Way Home,2021,да,,634649
2021-12-25,https://www.kinopoisk.ru/film/1236063/,нет,Довод,Tenet,2020,да,,577922
2021-12-23,https://www.kinopoisk.ru/film/602409/,нет,Новый Человек-паук: Высокое напряжение,The Amazing Spider-Man 2,2014,да,,102382
2021-12-22,https://www.kinopoisk.ru/film/278217/,нет,Новый Человек-паук,The Amazing Spider-Man,2012,да,,1930
2021-12-22,https://www.kinopoisk.ru/film/82441/,нет,Человек-паук 3: Враг в отражении,Spider-Man 3,2007,да,,559
2021-12-21,https://www.kinopoisk.ru/film/2898/,нет,Человек-паук 2,Spider-Man 2,2004,да,,558
2021-12-18,https://www.kinopoisk.ru/film/679486/,нет,Тайна Коко,Coco,2017,да,,354912
2021-12-16,https://www.kinopoisk.ru/film/838/,нет,Человек-паук,Spider-Man,2002,да,,557
2021-12-15,https://www.kinopoisk.ru/film/316/,нет,Матрица: Революция,The Matrix Revolutions,2003,да,,605
2021-12-14,https://www.kinopoisk.ru/film/299/,нет,Матрица: Перезагрузка,The Matrix Reloaded,2003,да,,604
2021-12-14,https://www.kinopoisk.ru/film/301/,нет,Матрица,The Matrix,1999,да,,603
2021-11-06,https://www.kinopoisk.ru/film/1080513/,нет,Вперёд,Onward,2019,да,,508439
2021-04-30,https://www.kinopoisk.ru/film/823594/,да,Вечность,Forever,2014,да,,60726
2021-04-27,https://www.kinopoisk.ru/film/1238506/,нет,Земля кочевников,Nomadland,2020,да,,581734
2021-04-24,https://www.kinopoisk.ru/film/1138750/,да,Манифест,Manifest,2018,да,,79696
